,index,type_,path,rms,power,mean_frequency
0,0,The sound of a mousetrap,silence-removal/noises_without_silence/mousetrap1.wav,1.60375,24.83,88.02395209580837
1,1,The sound of a mousetrap,silence-removal/noises_without_silence/mousetrap2.wav,2.44925,33.42,120.22705078125
2,2,The sound of a mousetrap,silence-removal/noises_without_silence/mousetrap3.wav,0.625125,32.06,150.0
3,3,The sound of a mousetrap,silence-removal/noises_without_silence/mousetrap4.wav,1.6091875,21.25,140.44585987261144
4,4,The sound of a mousetrap,silence-removal/noises_without_silence/mousetrap5.wav,1.0901875,26.9,113.04931640625
5,5,The sound of lockers,silence-removal/noises_without_silence/lockers1.wav,5.2435,30.9,144.11764705882354
6,6,The sound of lockers,silence-removal/noises_without_silence/lockers2.wav,2.3523125,50.43,193.798828125
7,7,The sound of lockers,silence-removal/noises_without_silence/lockers3.wav,32.681375,31.06,166.88232421875
8,8,The sound of lockers,silence-removal/noises_without_silence/lockers4.wav,11.8231875,21.89,226.0986328125
9,9,The sound of lockers,silence-removal/noises_without_silence/lockers5.wav,1.79175,20.18,190.08620689655172
10,10,Canned_food,silence-removal/noises_without_silence/Canned_food1.wav,1.4378125,24.51,153.125
11,11,Canned_food,silence-removal/noises_without_silence/Canned_food2.wav,14.2835,39.76,173.62204724409452
12,12,Canned_food,silence-removal/noises_without_silence/Canned_food3.wav,16.169,22.43,280.8917197452229
13,13,Canned_food,silence-removal/noises_without_silence/Canned_food4.wav,8.3970625,31.51,253.01513671875
14,14,Canned_food,silence-removal/noises_without_silence/Canned_food5.wav,1.402375,21.92,206.07476635514016
15,15,The noise of the crowd,silence-removal/noises_without_silence/crowd1.wav,13.9626875,23.25,286.3636363636364
16,16,The noise of the crowd,silence-removal/noises_without_silence/crowd2.wav,125.83225,26.02,364.46280991735534
17,17,The noise of the crowd,silence-removal/noises_without_silence/crowd3.wav,70.8379375,30.56,432.35294117647067
18,18,The noise of the crowd,silence-removal/noises_without_silence/crowd4.wav,121.239125,23.2,331.57894736842104
19,19,The noise of the crowd,silence-removal/noises_without_silence/crowd5.wav,70.799375,27.57,286.3636363636364
20,20,The noise of the machine,silence-removal/noises_without_silence/machine1.wav,12.903125,21.38,173.91304347826087
21,21,The noise of the machine,silence-removal/noises_without_silence/machine2.wav,5.9374375,29.52,152.59515570934255
22,22,The noise of the machine,silence-removal/noises_without_silence/machine3.wav,61.4230625,10.0,306.25
23,23,The noise of the machine,silence-removal/noises_without_silence/machine4.wav,12.903125,21.38,173.91304347826087
